,Year,Named Storms,Hurricanes,MajorHurricanes
1,1851,6,3,1
2,1852,5,5,1
3,1853,8,4,2
4,1854,5,3,1
5,1855,5,4,1
6,1856,6,4,2
7,1857,4,3,0
8,1858,6,6,0
9,1859,8,7,1
10,1860,7,6,1
11,1861,8,6,0
12,1862,6,3,0
13,1863,9,5,0
14,1864,5,3,0
15,1865,7,3,0
16,1866,7,6,1
17,1867,9,7,1
18,1868,4,3,0
19,1869,10,7,1
20,1870,11,10,2
21,1871,8,6,2
22,1872,5,4,0
23,1873,5,3,2
24,1874,7,4,0
25,1875,6,5,1
26,1876,5,4,2
27,1877,8,3,1
28,1878,12,10,2
29,1879,8,6,2
30,1880,11,9,2
31,1881,7,4,0
32,1882,6,4,2
33,1883,4,3,2
34,1884,4,4,1
35,1885,8,6,0
36,1886,12,10,4
37,1887,19,11,2
38,1888,9,6,2
39,1889,9,6,0
40,1890,4,2,1
41,1891,10,7,1
42,1892,9,5,0
43,1893,12,10,5
44,1894,7,5,4
45,1895,6,2,0
46,1896,7,6,2
47,1897,6,3,0
48,1898,11,5,1
49,1899,10,5,2
50,1900,7,3,2
51,1901,13,6,0
52,1902,5,3,0
53,1903,10,7,1
54,1904,6,4,0
55,1905,5,1,1
56,1906,11,6,3
57,1907,5,0,0
58,1908,10,6,1
59,1909,12,6,4
60,1910,5,3,1
61,1911,6,3,0
62,1912,7,4,1
63,1913,6,4,0
64,1914,1,0,0
65,1915,6,5,3
66,1916,15,10,5
67,1917,4,2,2
68,1918,6,4,1
69,1919,5,2,1
70,1920,5,4,0
71,1921,7,5,2
72,1922,5,3,1
73,1923,9,4,1
74,1924,11,5,2
75,1925,4,1,0
76,1926,11,8,6
77,1927,8,4,1
78,1928,6,4,1
79,1929,5,3,1
80,1930,3,2,2
81,1931,13,3,1
82,1932,15,6,4
83,1933,20,11,6
84,1934,13,7,1
85,1935,8,5,3
86,1936,17,7,1
87,1937,11,4,1
88,1938,9,4,2
89,1939,6,3,1
90,1940,9,6,0
91,1941,6,4,3
92,1942,11,4,1
93,1943,10,5,2
94,1944,14,8,3
95,1945,11,5,2
96,1946,6,3,1
97,1947,9,5,2
98,1948,9,6,4
99,1949,13,7,3
100,1950,13,11,8
101,1951,10,8,5
102,1952,7,6,3
103,1953,14,6,4
104,1954,11,8,2
105,1955,12,9,6
106,1956,8,4,2
107,1957,8,3,2
108,1958,10,7,5
109,1959,11,7,2
110,1960,7,4,2
111,1961,11,8,7
112,1962,5,3,1
113,1963,9,7,2
114,1964,12,6,6
115,1965,6,4,1
116,1966,11,7,3
117,1967,8,6,1
118,1968,8,4,0
119,1969,18,12,5
120,1970,10,5,2
121,1971,13,6,1
122,1972,7,3,0
123,1973,8,4,1
124,1974,11,4,2
125,1975,9,6,3
126,1976,10,6,2
127,1977,6,5,1
128,1978,12,5,2
129,1979,9,5,2
130,1980,11,9,2
131,1981,12,7,3
132,1982,6,2,1
133,1983,4,3,1
134,1984,13,5,1
135,1985,11,7,3
136,1986,6,4,0
137,1987,7,3,1
138,1988,12,5,3
139,1989,11,7,2
140,1990,14,8,1
141,1991,8,4,2
142,1992,7,4,1
143,1993,8,4,1
144,1994,7,3,0
145,1995,19,11,5
146,1996,13,9,6
147,1997,8,3,1
148,1998,14,10,3
149,1999,12,8,5
150,2000,15,8,3
151,2001,15,9,4
152,2002,12,4,2
153,2003,16,7,3
154,2004,15,9,6
155,2005,28,15,7
156,2006,10,5,2
157,2007,15,6,2
158,2008,16,8,5
159,2009,9,3,2
160,2010,19,12,5
161,2011,19,7,4
162,2012,19,10,2
163,2013,14,2,0
164,2014,8,6,2
165,2015,11,4,2
166,2016,15,7,4
167,2017,17,10,6
